Anno_Incidente,Codice Istat provincia,Provincia,Codice Istat comune,Comune,Numero incidenti,Totale morti,Totale Feriti
2016,15,MI,15036,BUCCINASCO,51,0,69
2016,20,MN,20017,CASTIGLIONE DELLE STIVIERE,35,0,56
2015,12,VA,12119,SARONNO,132,0,180
2016,18,PV,18110,PAVIA,422,0,601
2016,16,BG,16198,SERIATE,99,2,132
2015,15,MI,15116,LAINATE,86,0,118
2015,15,MI,15081,COLOGNO MONZESE,151,1,199
2015,15,MI,15175,PIOLTELLO,50,0,60
2015,16,BG,16183,ROMANO DI LOMBARDIA,23,1,28
2016,97,LC,97042,LECCO,242,1,305
2015,98,LO,98031,LODI,176,1,264
2016,12,VA,12040,CASSANO MAGNAGO,77,2,109
2015,12,VA,12026,BUSTO ARSIZIO,352,5,461
2016,12,VA,12133,VARESE,415,3,549
2016,15,MI,15206,SENAGO,22,0,29
2015,15,MI,15192,SAN DONATO MILANESE,118,0,158
2015,15,MI,15087,CORNAREDO,50,2,58
2015,17,BS,17133,PALAZZOLO SULL'OGLIO,52,1,68
