ID_PDV,Provincia,ISTAT,COMUNE,TITOLARE,C.C.,INDIRIZZO,INSEGNA,Settoremerc.non alim.,Sup.alim.,Sup.non alim.,Sup.totale
13468,BS,17040,Castegnato,M.BUSINESS SRL,,VIA TANGENZIALE OVEST,MERCATONE UNO,C,0.00,7000.00,10
9393,MN,20038,Ostiglia,MAXI DI SRL,,VIA PROVINCIALE PER MANTOVA,FAMILA,,1499.00,1000.00,10
9544,BS,17161,Rezzato,BOTTI ARREDA S.R.L.,,"VIA GIUSEPPE MAZZINI, N. 53",BOTTI ARREDA,C,0.00,2853.00,10
6677,BS,17174,Sarezzo,ESSELUNGA SPA,,P.LE EUROPA,ESSELUNGA SPA,,3353.00,0.00,10
1176,MN,20027,Gonzaga,CALZOLARI SRL,,"VIA CADELLORA, 4/6",CALZOLARI,D,0.00,2000.00,10
13341,BS,17029,Brescia,LONATI SPA,SI,VIALE S.EUFEMIA ANGOLO VIA SERENISSIMA,,,1000.00,13950.00,10
5795,MN,20003,Bagnolo San Vito,PONTI ARREDAMENTI SRL,,VIA  G.ROSSINI 6,PONTI  ARREDAMENTI,C,0.00,2200.00,10
2917,BS,17103,Manerbio,CONSORZIO LE ARCATE,SI,"VIA CREMONA, 10",CONSORZIO LE ARCATE,,1500.00,2599.00,10
1877,BS,17088,Leno,ITALFRUTTA SPA,,VIA BRESCIA 1/A,ITALMARK,,1850.00,1650.00,10
3040,MN,20045,Porto Mantovano,SQUASSABIA GROUP,,"STR.  CISA, 137",,C,0.00,2900.00,10
13497,MN,20021,Curtatone,SUPERMERCATI TOSANO DI CEREA,,VIA PARRI,SUPERMERCATI TOSANO,,3300.00,1600.00,10
6246,BS,17125,Orzinuovi,METALMARK SRL,SI,"VIA EINAUDI, 3",METALMARK,,4000.00,10141.00,10
3080,MN,20071,Borgo Virgilio,NAMIRA SETTE,SI,PIAZZA COMMERCIO 1,CENTRO COMMERCIALE VIRGILIO,,2827.00,9376.00,10
14477,BS,17029,Brescia,TRIUMPLINA 43 SPA,SI,VIA TRIUMPLINA 43,,,3060.00,6935.00,10
7255,BS,17078,Ghedi,MAXI DI  SRL,SI,VIA PER ISORELLA 6/F,LA ROTONDA,,2400.00,2064.00,10
2920,BS,17052,Chiari,ITALMARK SPA,SI,"VIA BRESCIA, 31",ITALMARK,,4000.00,7307.00,10
1093,BS,17107,Mazzano,AUCHAN SPA - GALLERIE COMMERCIALE SPA,SI,VIA DE GASPERI 6,"""IL TRIANGOLO""",,5200.00,13669.00,10
7246,BS,17061,Concesio,AUCHAN  SPA,SI,VIA EUROPA 8,AUCHAN,,4200.00,4645.00,10
2530,BS,17062,Corte Franca,CENTRO FRANCIACORTA ISEO SPA,SI,"VIA ROMA, 78",CENTRO COMMERCIALE LE TORBIERE,,980.00,8411.00,10
11971,BS,17043,Castenedolo,INVEST SRL,SI,LOCALITA FASCIA D?ORO,,,0.00,14900.00,10
3968,BS,17195,Verolanuova,ITALFRUTTA SPA,,"V. CIRCONVALLAZIONE, 29",ITALMARK------------------------------------------,,1550.00,393.00,10
629,BS,17029,Brescia,LEROY MERLIN ITALIA SRL,,"VIA GENOVA, 93",,D,0.00,6500.00,10
14885,BS,17042,Castel Mella,MAXI DI SPA,,VIA DELLA FORNACE - LOCALITA' COLORNE,,,1500.00,600.00,10
4795,BS,17096,Lumezzane,ARCADIA SRL,SI,"VIA S. NICOLA DA TOLENTINO, 25",CENTRO COMMERCIALE ARCADIA,,0.00,4464.00,10
3358,SO,14048,Piantedo,S.C. EVOLUTION,SI,VIA LA ROSA 354,CENTRO COMMERCIALE FUENTES,,3296.00,10746.00,10
12154,BS,17201,Villanuova sul Clisi,ITALMARK S.P.A.,,"VIA ZANARDELLI, 79",ITALMARK,D,0.00,1650.00,10
5117,BS,17165,Roncadelle,DECATHLON ITALIA S.R.L.,,"VIA MATTEI, 33/35",DECATHLON,A,0.00,3700.00,10
