,titleType,primaryTitle,startYear,runtimeMinutes,genres,PolloRating
124564,movie,Feedback,2002,88,"Sci-Fi,Thriller",0.18621603558168998
158033,movie,Repeat,2021,95,"Drama,Mystery,Sci-Fi",0.18611137471745975
174536,movie,Ayar,2021,84,"Drama,Sci-Fi,Thriller",0.18602156998674588
213768,movie,Septic Man,2013,83,"Horror,Sci-Fi",0.18600391694668783
29961,movie,Skies Above,1965,105,Sci-Fi,0.18590874420645626
153332,movie,Alien Game,2007,82,Sci-Fi,0.18589398752797973
135319,movie,The Moment After II: The Awakening,2006,93,"Drama,Sci-Fi,Thriller",0.18578954303350786
43371,movie,Ravagers,1979,90,"Drama,Fantasy,Sci-Fi",0.1857210010017129
42461,movie,Spawn of the Slithis,1978,86,"Horror,Sci-Fi",0.18567076699616644
229448,movie,House of Time,2015,86,"Comedy,Mystery,Sci-Fi",0.18563731052189256
67540,movie,The Visitor in the Eye,1977,100,"Mystery,Sci-Fi",0.18563731052189256
44053,movie,Image of the Beast,1981,93,"Sci-Fi,Thriller",0.18557636513572467
90258,movie,France Inc.,1974,98,"Crime,Drama,Sci-Fi",0.1855498992602555
150586,movie,Bony,2021,116,Sci-Fi,0.18554438786668367
44383,movie,Scared to Death,1980,96,"Horror,Sci-Fi",0.18552174291992118
90211,movie,Blobermouth,1991,86,"Comedy,Horror,Sci-Fi",0.18541550999001308
49635,movie,A Virus Knows No Morals,1986,84,"Comedy,Drama,Sci-Fi",0.1854146025445378
274455,movie,Multiverse,2019,90,"Drama,Sci-Fi",0.18539598240364522
206658,movie,Doctor Mabuse: Etiopomar,2014,82,"Drama,Fantasy,Sci-Fi",0.1853227710420806
187721,movie,Planzet,2010,53,"Action,Animation,Sci-Fi",0.18529517621651231
277510,movie,Makuko,2019,108,"Family,Sci-Fi",0.1852793229164106
43475,movie,Spaced Out,1979,77,"Comedy,Sci-Fi",0.18523683997988258
242541,movie,Incontrol,2017,82,"Drama,Sci-Fi,Thriller",0.18519554901341717
46432,movie,Time Walker,1982,83,"Horror,Sci-Fi",0.18518764094047302
269703,movie,Belushi's Toilet,2018,121,"Drama,Sci-Fi",0.18513521463063337
146861,movie,Santamaria,2019,85,"Mystery,Sci-Fi",0.1850767098699398
80092,movie,'Babicky dobíjejte presne!',1984,101,"Comedy,Horror,Sci-Fi",0.18507642644471126
230342,movie,Restoration,2016,50,"Sci-Fi,Thriller",0.18507642644471126
53725,movie,Flesh Gordon Meets the Cosmic Cheerleaders,1990,102,"Comedy,Sci-Fi",0.18487967992434437
192403,movie,Dragon Day,2013,95,"Drama,Sci-Fi,Thriller",0.18486553994832952
33190,movie,Mission Stardust,1967,95,"Action,Adventure,Sci-Fi",0.18485367236949274
30821,movie,Dimension 5,1966,91,"Crime,Sci-Fi,Thriller",0.18482093486612763
93893,movie,Mikadoroido,1991,113,"Horror,Sci-Fi",0.18480316766532834
229186,movie,Centurion AD: Demons Within,2017,102,"Action,Adventure,Sci-Fi",0.1847469333942553
207579,movie,The Castle of Crossed Destinies,2012,124,"Drama,Sci-Fi",0.1847469333942553
222631,movie,Dinosaur Island,2014,82,"Adventure,Family,Sci-Fi",0.1847435763780147
227321,movie,The Late Night Double Feature,2014,90,"Horror,Sci-Fi",0.18472175042255023
66188,movie,Professor Ki Padosan,1994,138,"Comedy,Sci-Fi",0.18472175042255023
92066,movie,UFO: Distruggete Base Luna,1971,90,"Action,Sci-Fi",0.18472175042255023
43484,movie,Star Virgin,1979,78,"Adult,Comedy,Sci-Fi",0.18462427249514363
83590,movie,Ultraman Tiga & Ultraman Dyna: Warriors of the Star of Light,1998,68,"Action,Sci-Fi",0.18458069587875336
487,movie,"Homunculus, 1. Teil",1916,69,"Horror,Sci-Fi",0.18456026660373034
126569,movie,Able Edwards,2004,87,"Drama,Sci-Fi",0.18454185187705405
224621,movie,Jossy's,2014,97,"Action,Sci-Fi",0.18454185187705405
57021,movie,Vegas in Space,1991,85,"Comedy,Sci-Fi",0.1845315557013291
72092,movie,They Bite,1996,98,"Comedy,Horror,Sci-Fi",0.18450480309522704
31586,movie,Coplan Saves His Skin,1968,110,"Action,Crime,Sci-Fi",0.1844996587987786
155916,movie,Solitary,2020,89,"Drama,Sci-Fi,Thriller",0.18447799433226242
181743,movie,Frankenstein Unlimited,2009,94,"Horror,Sci-Fi,Thriller",0.1844681662586923
18738,movie,"Captain Video, Master of the Stratosphere",1951,287,"Adventure,Sci-Fi",0.1844332210161169
30814,movie,Destination Inner Space,1966,83,"Sci-Fi,Thriller",0.18438851825417255
179016,movie,Killer School Girls from Outer Space,2011,91,"Horror,Sci-Fi",0.18435337831226448
262479,movie,I Love the Earth,1994,97,"Comedy,Family,Sci-Fi",0.18425682129639445
62771,movie,Terminal Justice,1996,94,"Action,Sci-Fi,Thriller",0.18412001855365198
22613,movie,The Beast with a Million Eyes,1955,75,"Horror,Sci-Fi",0.18411859113979256
21643,movie,Superman Flies Again,1954,77,"Action,Fantasy,Sci-Fi",0.18409040478077401
65399,movie,Ravager,1997,92,"Horror,Sci-Fi",0.18406779820792524
31578,movie,Argoman the Fantastic Superman,1967,93,"Action,Adventure,Sci-Fi",0.18404019903820845
247536,movie,Cutie Honey: Tears,2016,92,"Action,Sci-Fi",0.18403516321396662
40788,movie,The Alien Factor,1978,80,"Horror,Sci-Fi",0.1839853029640297
116303,movie,Santo: Infraterrestre,2001,85,"Action,Family,Sci-Fi",0.1839627751823444
224222,movie,Jayson Bend: Queen and Country,2015,49,"Action,Comedy,Sci-Fi",0.1839559071950071
138997,movie,EGG.,2005,73,"Horror,Mystery,Sci-Fi",0.1839559071950071
228711,movie,For the Plasma,2014,94,"Comedy,Drama,Sci-Fi",0.18391434136651957
48906,movie,Evils of the Night,1985,84,"Horror,Sci-Fi",0.18390842048091546
225976,movie,54 Days,2014,87,"Drama,Sci-Fi,Thriller",0.18370549048446458
126291,movie,Spectres,2004,98,"Drama,Mystery,Sci-Fi",0.183701568065289
125824,movie,Red Cockroaches,2003,82,"Drama,Sci-Fi",0.18369486640509788
176804,movie,Moscow Does Not Happen,2020,98,"Comedy,Sci-Fi,Thriller",0.1836866294836594
192535,movie,Operation: Get Rid of Pinky,2011,93,"Comedy,Fantasy,Sci-Fi",0.18367151418871286
178740,movie,Area Q.,2011,114,"Sci-Fi,Thriller",0.18366704329128558
238688,movie,Llamageddon,2015,69,"Comedy,Sci-Fi",0.1836660686286071
133132,movie,Ulysses and the Stars,1976,81,"Family,Mystery,Sci-Fi",0.18364844464482907
33722,movie,Assignment Terror,1970,87,"Horror,Sci-Fi",0.1835810658597302
240516,movie,Garden of Eden,2015,93,"Comedy,Drama,Sci-Fi",0.1835544413262384
